abortive {adj} (produced by abortion; born prematurely)	 :: abortiv
abound with {v} (abound) SEE: abound	 ::
about {adv} (in circuit)	 :: rundt
about {adv} (nearly, approximately)	 :: nesten
about {adv} (on all sides)	 :: rundt
about {prep} (concerned with, engaged in)	 :: om
about {prep} (concerning)	 :: om, angående
about {prep} (in the immediate neighborhood of)	 :: rundt
about {prep} (near, approximately, regarding time, size or quantity)	 :: rundt
about {prep} (on every side of)	 :: rundt, omkring
about {prep} (on the point or verge of)	 :: på veg til
about {prep} (over or upon different parts of)	 :: rundt
above {adv} (higher in rank)	 :: høyere
above {adv} (in a higher place)	 :: ovenfor, over
above {prep} (in or to a higher place)	 :: over, ovenfor
above {prep} (more)	 :: over
above {prep} (superior to, surpassing)	 :: over, utover
above measure {prep} (beyond measure) SEE: beyond measure	 ::
above-named {adj} (mentioned or named before) SEE: above-mentioned	 ::
abrade {v} ((transitive) to rub or wear off; to waste or wear away by friction)	 :: skure, slipe
Abraham {prop} (male given name)	 :: Abraham
Abraham {prop} (prophet in the Old Testament)	 :: Abraham
abridge {v} (to make shorter)	 :: forkorte
abridge {v} (to shorten or contract by using fewer words)	 :: sammendra
abridged {adj} (cut or shortened, especially of a literary work)	 :: avkortet, avkorta
abridgment {n}	 :: forkortelse {c} {n} utdrag
abroad {adv} (in foreign countries)	 :: [Bokmål] utenlands, i utlandet; [Nynorsk] utanlands, i utlandet
abrogate {v} (to annul by an authoritative act)	 :: oppheve, heve, annullere
abrogate {v} (to put an end to)	 :: avslutte
Abruka {prop} (Estonian island located in the Gulf of Riga)	 :: Abruka
abrupt {adj} (botany: truncated)	 :: avkortet
abrupt {adj} (curt in manner)	 :: brå, skarp
abrupt {adj} (extremely steep)	 :: brå, bratt (steep)
abrupt {adj} (having sudden transitions from one state to next)	 :: plutselig
abrupt {adj} (without notice)	 :: brå, plutselig
abscond {v} (to depart secretly)	 :: rømme, stikke av
absence {n} (inattention to things present)	 :: [Bokmål] åndsfravær {n} [absence of mind]; [Nynorsk] åndsfråvær {n} [absence of mind]
absence {n} (lack; deficiency; nonexistence)	 :: [Bokmål] fravær {n}, mangel {m}; [Nynorsk] fråvær {n}, mangel {m}
absence {n} (state of being away)	 :: [Bokmål] fravær {n}; [Nynorsk] fråvær {n}
absent {adj} (being away from a place)	 :: fraværende
absent {adj} (inattentive)	 :: fraværende
absent {adj} (not existing)	 :: fraværende
absent-minded {adj} (absent in mind)	 :: distré
absinthe {n} (Artemisia absinthium)	 :: [Bokmål] malurt {m}; [Nynorsk] malurt {m}
absinthe {n} (liquor)	 :: [Bokmål] absint {m}; [Nynorsk] absint {m}
absolute {adj} (chemistry: pure; unmixed)	 :: absolutt
absolute {adj} (complete in itself, fixed)	 :: absolutt
absolute {adj} (grammar: not immediately dependent on the other parts of the sentence in government)	 :: absolutt
absolute {adj} (loosed from any conditions or limitations)	 :: absolutt
absolute {adj} (loosed from any other being or comparison)	 :: absolutt
absolute {adj} (viewed apart from modifying influences or without comparison with other objects)	 :: absolutt
absolute {n} (that which is independent of context-dependent interpretation)	 :: absolutt {n}
absoluteness {n} (the fact free from any conditions or other beings)	 :: [Bokmål] absolutthet {m} {f}
absolute pitch {n} (ability to identify and reproduce a tone) SEE: perfect pitch	 ::
absolutism {n} (political science: absolute or arbritary government; despotism)	 :: [Bokmål] absolutisme {m}; [Nynorsk] absolutisme {m}
absolutistic {adj} (pertaining to absolutism)	 :: [Bokmål] absolutistisk; [Nynorsk] absolutistisk
absolve {v} (theology: to pronounce free or give absolution from sin)	 :: tilgi
absolve {v} (to pronounce free or give absolution)	 :: frikjenne
absolve {v} (to set free)	 :: frikjenne
absorb {v} (finance: to assume or pay for)	 :: påta seg
absorb {v} (physics: to take up by chemical or physical action)	 :: absorbere
absorb {v} (to consume completely)	 :: absorbere
absorb {v} (to endure)	 :: utholde
absorb {v} (to include so that it no longer has separate existence)	 :: absorbere, oppsluke
absorb {v} (to learn)	 :: absorbere
absorb {v} (to occupy fully)	 :: oppsluke
absorb {v} (to suck up or drink in)	 :: absorbere
absorption {n}	 :: inn-, oppsuging
absorptive {adj} (having capacity to imbibe)	 :: absorberende {n}
abstain {v} (refrain from)	 :: avholde seg
abstainer {n} (one who abstains)	 :: avholdsmann {c}
abstention {n} (the act of abstaining)	 :: avhold {n}
abstinence {n} (specifically, abstinence from alcohol)	 :: avhold {n}, avholdenhet {m}
abstinence {n} (specifically, abstinence from sexual intercourse)	 :: avhold {n}, avholdenhet {m}
abstinence {n} (the act or practice of abstaining)	 :: avhold {n}, avholdenhet {m}
abstinence {n} (the practice of self-denial)	 :: avhold {n}, avholdenhet {m}
abstract {adj} (absent in mind)	 :: distrahert
abstract {adj} (apart from practice or reality; not concrete)	 :: abstrakt
abstract {adj} (art: free from representational qualities)	 :: abstrakt
abstract {adj} (difficult to understand)	 :: abstrakt
abstract {adj} (separate)	 :: abstrakt
abstract {n} (an abrigement or summary)	 :: sammendrag {n}, oppsummering {m}, utdrag {n}, referat {n}
abstract {n} (an abstraction)	 :: distraksjon {n}
abstract {n} (an abstract work of art)	 :: abstrakt
abstract {n} (an extract of a vegetable substance)	 :: ekstrakt
abstract {n} (something that concentrates in itself the qualities of something else)	 :: sammenfatning {m}
abstract {n} (that which is abstract)	 :: abstraksjon {m}
abstract art {n} (art that does not depict objects in the natural world)	 :: [Bokmål] abstrakt kunst {m}; [Nynorsk] abstrakt kunst {m} {f}
abstractness {n} (the quality of being abstract)	 :: [Bokmål] abstrakthet {m} {f}
absurd {adj} (contrary to reason or propriety)	 :: absurd, tåpelig
absurdity {n} (an absurd action)	 :: absurditet {m}, meningsløshet {m}
absurdity {n} (the quality of being absurd)	 :: absurditet {m}
Abu Dhabi {prop} (capital of UAE)	 :: Abu Dhabi
abundance {n} (ample sufficiency)	 :: overflod {c}
abundant {adj} (fully sufficient; plentiful)	 :: rikelig
abuse {n} (catachresis) SEE: catachresis	 ::
abuse {n} (corrupt practice)	 :: misbruk {n}
abuse {n} (delusion) SEE: delusion	 ::
abuse {n} (improper usage)	 :: [Bokmål] misbruk {m} {n}; [Nynorsk] misbruk {m} {n}
abuse {n} (insulting speech)	 :: utskjelling {m}
abuse {n} (physical maltreatment)	 :: mishandling {m}
abuse {n} (sexual violation or assault)	 :: voldtekt {m}
abuse {v} (to adulterate) SEE: adulterate	 ::
abuse {v} (to hurt)	 :: mishandle
abuse {v} (to insult)	 :: skjelle ut
abuse {v} (to rape)	 :: voldta
abuse {v} (to use improperly)	 :: misbruke
abusio {n} (catachresis) SEE: catachresis	 ::
abusive {adj}	 :: grov
abysm {n} (abyss) SEE: abyss	 ::
abyss {n} (bottomless or unfathomed depth)	 :: avgrunn {m}
abyss {n} (moral depravity, vast intellectual or moral depth)	 :: avgrunn {m}
Abyssinia {prop} (historical name of Ethiopia)	 :: [Bokmål] Abessinia; [Nynorsk] Abessinia
Abyssinian {adj} (of or pertaining to Abyssinia)	 :: [Bokmål] abessinsk; [Nynorsk] abessinsk
Abyssinian {n} (a native of Abyssinia)	 :: [Bokmål] abessinier; [Nynorsk] abessiniar
acacia {n} (shrub or tree)	 :: akasie {m}
academic {adj} (belonging to an academy or other higher institution of learning)	 :: akademisk
academic {adj} (having no practical importance)	 :: akademisk
academic {adj} (scholarly; literary or classical, in distinction from scientific)	 :: akademisk
academic {n} (member of an academy, college, or university)	 :: [Bokmål] akademiker {m}; [Nynorsk] akademikar {m}
academic {n} (person who attends an academy)	 :: akademiker {m}
academician {n}	 :: akademiker, medlem {n}, av et akademi
academy {n} (college or university)	 :: [Bokmål] akademi {n}; [Nynorsk] akademi {n}
academy {n} (learned society)	 :: [Bokmål] akademi {n}; [Nynorsk] akademi {n}
academy {n} (place of training, school)	 :: [Bokmål] akademi {n}; [Nynorsk] akademi {n}
academy {n} (seminary)	 :: akademi {n}
academy {n} (specialized school)	 :: [Bokmål] akademi {n}; [Nynorsk] akademi {n}
Academy of Sciences {n} (national academy) SEE: national academy	 ::
acajou {n} (cashew nut) SEE: cashew nut	 ::
acajou {n} (cashew tree) SEE: cashew	 ::
acajou {n} (wood from trees of Meliaceae family) SEE: mahogany	 ::
a cappella {adv} (performed by a choir with no instrumental accompaniment)	 :: a cappella
accedie {n} (acedia) SEE: acedia	 ::
accelerate {v} (to become faster)	 :: sette opp farten
accelerate {v} (to cause to move faster)	 :: akselerere
accelerate {v} (to hasten)	 :: påskynde
accelerate {v} (to quicken natural or ordinary progression or process)	 :: påskynde
acceleration {n} (act or state)	 :: [Bokmål] akselerasjon {m}; [Nynorsk] akselerasjon {m}
acceleration {n} ((physics))	 :: [Bokmål] akselerasjon {m}; [Nynorsk] akselerasjon {m}
accelerator {n} (accelerator pedal)	 :: [Bokmål] gasspedal {m}
accent {n} (distinctive pronunciation associated with a region, social group, etc.)	 :: aksent {m}, uttale {m}, tonefall {n}
accent {n} (math: mark to distinguish magnitudes of similar kind)	 :: aksent {m}, merke {n}
accent {n} (music: recurring stress on a tone)	 :: aksent {m}, trykk {n}
accent {n} (music: rhythmical accent)	 :: aksent {m}, trykk {n}
accent {n} (music: special emphasis on a tone)	 :: aksent {m}
accent {n} (orthography: mark to indicate accent)	 :: aksent {m}
accent {n} (prosody: stress on syllables of a verse)	 :: aksent {m}
accent {n} (stronger articulation)	 :: aksent {m}, trykk {n}, betoning {m}
accent {n} (utterance) SEE: utterance	 ::
accent {v} (to emphasize)	 :: aksentuere
accent {v} (to express the accent of)	 :: aksentuere
accent {v} (to mark with written accents)	 :: aksentuere
accentuate {v} (to bring out distinctly)	 :: aksentuere, betone, framheve
accentuate {v} (to pronounce with an accent)	 :: aksentuere, betone
accentuation {n}	 :: betoning {c}, aksentuering {c}
accept {v} (to agree to)	 :: akseptere, godta
accept {v} (to agree to pay)	 :: akseptere
accept {v} (to endure patiently)	 :: aksepetere, godta
accept {v} (to receive officially)	 :: motta
accept {v} (to receive with consent)	 :: akseptere, motta, ta imot
acceptable {adj} (capable, worthy or sure of being accepted)	 :: antakelig
acceptance {n}	 :: godtagelse {c}, aksept {c}
acceptor {n} (one who accepts)	 :: comm akseptant {c}
access {n} (communication with a computer program or the Internet)	 :: aksess {m}, tilgang {m}
access {n} (computing: process of locating data in memory)	 :: aksess {m}
access {n} (onset, attack or fit of disease)	 :: anfall {n}
access {n} (outburst of an emotion)	 :: anfall {n}, utbrudd {n}
access {n} (right or ability of approaching or entering)	 :: [Bokmål] adgang {m}, tilgang {m}; [Nynorsk] åtgang {m}, tilgang {m}
access {n} (right to visit one's child)	 :: besøksrett {m}
access {n} (way or means of approaching)	 :: [Bokmål] adgang {m}, tilgang {m}; [Nynorsk] åtgang {m}, tilgang {m}
access {v} (computing: to have access to (data))	 :: aksessere
access {v} (to gain or obtain access to)	 :: få tilgang
accident {n} (transport: unintended event that causes damage)	 :: [Bokmål] ulykke {m} {f}, uhell {n}; [Nynorsk] ulukke {f}, ulykke {f}, uhell {n}
accident {n}	 :: ulykke
accident {n} (unexpected event with negative consequences)	 :: [Bokmål] ulykke {m} {f}, uhell {n}, ulykkestilfelle {n}; [Nynorsk] ulukke {f}, ulykke {f}, uhell {n}
accidently {adv} (unexpectedly, unintentionally) SEE: accidentally	 ::
accoil {v} (nautical sense) SEE: coil	 ::
accomplice {n} (an associate in the commission of a crime)	 :: medskyldig
accordingly {adv} (agreeably; correspondingly; suitably; in a manner conformable)	 :: deretter
according to {prep} (based on statement)	 :: [Bokmål] ifølge; [Nynorsk] ifølgje
accordion {n} (A small, portable, keyed wind instrument)	 :: trekkspill
accordion player {n} (accordion player) SEE: accordionist	 ::
account {n} (a registry of pecuniary transactions)	 :: konto {m}
account {n} (a statement in general of reasons, causes, grounds, etc.)	 :: redegjørelse {m}
account {n} (a statement of facts or occurrences)	 :: forklaring {m}
account {n} (reckoning, calculation)	 :: regning {m}
account {v} (account for) SEE: account for	 ::
account {v} (credit (to)) SEE: credit	 ::
accountability {n} (state of being accountable)	 :: [Bokmål] ansvarlighet {m}, etterrettelighet {m}
accourage {v} (encourage) SEE: encourage	 ::
Accra {prop} (capital of Ghana)	 :: Accra; [Bokmål] Accra; [Nynorsk] Accra
accumulator {n}	 :: akkumulator
accuracy {n} (state of being accurate)	 :: [Bokmål] nøyaktighet {m} {f}
accusative case {n} (case used to mark the immediate object) SEE: accusative	 ::
accuse {v} (attribute blame to someone)	 :: [Bokmål] beskylde; [Nynorsk] skulde, skylde
accustom {v} (cohabit) SEE: cohabit	 ::
ace {n} (golf: hole in one) SEE: hole in one	 ::
acedia {n} (boredom) SEE: boredom	 ::
Aceh {prop} (language) SEE: Acehnese	 ::
acetic acid {n} (clear colourless organic acid, CH3COOH)	 :: [Bokmål] eddiksyre {m} {f}; [Nynorsk] eddiksyre {f}
acetyltransferase {n} (transacetylase) SEE: transacetylase	 ::
ace up one's sleeve {n} (a surprise advantage of which others are not aware)	 :: ess i ermet
Achaean {n} (an inhabitant of Achaea)	 :: [Bokmål] akhaier {m}
a chain is only as strong as its weakest link {proverb} (aphorism)	 :: [Bokmål] en kjede er aldri sterkere enn sitt svakeste ledd
achieve {v}	 :: oppnå
Achilles {prop} (Greek mythical hero)	 :: [Bokmål] Akilles {m}
Achilles heel {n} (Achilles' tendon) SEE: Achilles' tendon	 ::
Achilles heel {n} (vulnerability in an otherwise strong situation)	 :: [Bokmål] akilleshæl {m}; [Nynorsk] akilleshæl {m}
Achilles tendon {n} (strong tendon in the calf of the leg)	 :: [Bokmål] akillessene {m} {f}; [Nynorsk] akillessen {f}, akillessene {f}
Achinese {prop} (Acehnese) SEE: Acehnese	 ::
achoo {interj} (the sound of a sneeze)	 :: atsjo
achromaticity {n} (achromatism) SEE: achromatism	 ::
acid {adj} (of or pertaining to an acid)	 :: syre-
acid {adj} (sour, sharp, or biting to the taste)	 :: sur
acid {adj} (sour-tempered)	 :: sur
acid {n} (a sour substance)	 :: [Bokmål] syre {m} {f}
acidic {adj} (of or relating to acid)	 :: syrlig
acidness {n} (acidity) SEE: acidity	 ::
acid rain {n} (unusually acidic rain)	 :: sur nedbør
acinesic {adj} (akinesic) SEE: akinesic	 ::
acne {n}	 :: kvise
aconite {n} (herb wolfsbane)	 :: hjelm; [Nynorsk] hjelm
acorn {n} (fruit of the oak tree)	 :: kongle {m} {f}, åkorn {n}; [Bokmål] eikenøtt {m} {f}; [Nynorsk] eikenøtt {f}
acoustic {adj} (pertaining to hearing or the science of sounds)	 :: [Bokmål] akustisk; [Nynorsk] akustisk
acoustic {adj} (producing or produced without electrical amplification)	 :: [Bokmål] akustisk; [Nynorsk] akustisk
acquaintance {n} (person)	 :: forbindelse {m}
acrobat {n} (an athlete who performs acts requiring skill, agility and coordination)	 :: [Bokmål] akrobat {m}; [Nynorsk] akrobat {m}
acrobatics {n} (art of performing acrobatic feats)	 :: [Bokmål] akrobatikk {m}; [Nynorsk] akrobatikk {m}
acromegaly {n} (chronic disease marked by enlargement of the bones)	 :: akromegali
acrophobia {n} (fear of heights)	 :: akrofobi {m}
Acropolis {prop}	 :: Akropolis
actinium {n} (chemical element)	 :: actinium
activate {v}	 :: aktiviser
active {adj} (having the quality or power of acting)	 :: aktiv
activistic {adj} (activist) SEE: activist	 ::
activity {n} (something done as an action or a movement)	 :: [Bokmål] aktivitet {m}; [Nynorsk] aktivitet {m}
activity {n} (something done for pleasure or entertainment)	 :: [Bokmål] aktivitet {m}; [Nynorsk] aktivitet {m}
activity {n} (The state or quality of being active; nimbleness; agility; vigorous action or operation; energy; active force)	 :: [Bokmål] aktivitet {m}; [Nynorsk] aktivitet {m}
actor {n} (person who performs in a theatrical play or film)	 :: [Bokmål] skuespiller {m}, skuespillerinne {m} {f}; [Nynorsk] skodespelar {m}, skodespelarinne {f}
actor {n} (plaintiff) SEE: plaintiff	 ::
actress {n} (female actor)	 :: [Bokmål] skuespillerinne {m} {f}; [Nynorsk] skodespelarinne {f}
Acts {prop} (Book of Acts) SEE: Acts of the Apostles	 ::
Acts of the Apostles {prop} (fifth book of the New Testament)	 :: Apostelgjerningane
actual {adj} (existing in act or reality, not just potentially)	 :: faktisk, reell, virkelig
actually {adv} (really)	 :: faktisk, for øyeblikket, i virkeligheten, reelt sett
acupuncturation {n} (acupuncture) SEE: acupuncture	 ::
acupuncture {n} (insertion of needles for remedial purposes)	 :: akupunktur {m}
acute {adj} (geometry: acute-angled) SEE: acute-angled	 ::
acute {n} (acute accent) SEE: acute accent	 ::
acute angle {n} (angle measuring less than ninety degrees)	 :: [Bokmål] spiss vinkel {m}; [Nynorsk] spiss vinkel {m}
adage {n} (old saying)	 :: visdomsord {n}
Adam {prop} (first man in Abrahamic religions)	 :: Adam
Adam {prop} (male given name)	 :: Adam
Adam and Eve {prop} (the first man and woman (according to Genesis))	 :: [Bokmål] Adam og Eva; [Nynorsk] Adam og Eva
Adam's apple {n} (the lump in the throat)	 :: [Bokmål] adamseple {n}; [Nynorsk] adamseple {n}
adapt {v}	 :: tilpasse
adaptative {adj} (adaptive) SEE: adaptive	 ::
addend {n}	 :: [Bokmål] addend {m}; [Nynorsk] addend {m}
addendum {n} (Something to be added)	 :: [Bokmål] tillegg {n}, tilføyelse {m}; [Nynorsk] tillegg {n}, tilføying {f}
add fuel to the fire {v} (worsen a conflict)	 :: helle bensin på bålet, (to blow in the fire) puste til ilden
addicted {adj} (being dependent on something)	 :: avhengig
addition {n} (act of adding)	 :: [Bokmål] legge til, tilføye; [Nynorsk] leggje til, tilføye
addition {n} (arithmetic: process of adding)	 :: addisjon {m}, pluss {n}
addition {n} (thing added)	 :: tillegg {n}
additionally {adv} (by way of addition)	 :: attpåtil
addon {n} (add-on) SEE: add-on	 ::
address {n} (direction for letters)	 :: adresse
addressee {n} (person or organization to which something is addressed or sent)	 :: [Bokmål] adressat {m}; [Nynorsk] adressat {m}
addressing {n}	 :: adressering
add up {v} (be reasonable or consistent) SEE: make sense	 ::
Adele {prop} (female given name) SEE: Adela	 ::
adept {n} (one fully skilled or well versed in anything)	 :: adept {m}
adequate {adj} (equal to some requirement)	 :: adekvat, tilstrekkelig
ad hoc {adj} (for this particular purpose)	 :: ad hoc
ad hoc {adj} (impromptu) SEE: impromptu	 ::
ad hoc {adj} (special) SEE: special	 ::
adieu {n} (a farewell)	 :: adjø {n}, farvel {n}
ad infinitum {adv} (endlessly)	 :: i all uendelighet, uten slutt
adios {interj} (goodbye) SEE: goodbye	 ::
adjacent {adj} (just before, after, or facing)	 :: foregående, forutgående (both signifying previous), etterfølgende, følgende, påfølgende, neste (all signifying next), motsatt (facing)
adjacent {adj} (lying next to, close, or contiguous; neighboring)	 :: nabo-, ved siden av
adjective {n} ((grammar) a word that modifies a noun or describes a noun’s referent)	 :: [Bokmål] adjektiv; [Nynorsk] adjektiv
adjudicate {v} (to act as a judge)	 :: dømme
adjudicate {v} (to settle a legal case or other dispute)	 :: bedømme, dømme, pådømme
adjust {v} (to improve or rectify)	 :: justere, korrigere
adjust {v} (to modify)	 :: justere, stille
adjustable spanner {n} (adjustable hand tool)	 :: [Bokmål] skiftenøkkel {m}
administration {n} (the act of administering)	 :: administrasjon {m} {f}
administration {n} (the executive part of government)	 :: administrasjon {m} {f}
administrator {n}	 :: administrator {m}
admiration {n} (adoration; appreciation)	 :: beundring
admit {v} (to allow to enter; to grant entrance)	 :: slippe inn
admit {v} (to concede as true)	 :: [Bokmål] innrømme, tilstå; [Nynorsk] tilstå
admonish {v} (warn against danger or an offense)	 :: advare
admonish {v} (warn or notify of a fault; exhort)	 :: irettesette
Adolf {prop} (male given name) SEE: Adolph	 ::
Adolph {prop} (male given name)	 :: Adolf
Adonis {prop} (the young man loved by Aphrodite)	 :: Adonis {m}
adoration {n} (admiration or esteem)	 :: [Bokmål] hyldning {m}
adore {v}	 :: tilbe
adornment {n} (a decoration; that which adorns)	 :: utsmykning
adornment {n} (the act of decorating)	 :: utsmykning
adrenal {n} (noun sense) SEE: adrenal gland	 ::
Adrian {prop} (male given name)	 :: Adrian
Adriatic {prop} (Adriatic Sea) SEE: Adriatic Sea	 ::
adulation {n} (Flattery; fulsome praise)	 :: grov smiger, , smisking {c}
adult {adj} (pornographic) SEE: pornographic	 ::
adult {n} (fully grown human)	 :: voksen
adulter {v} (adulterate) SEE: adulterate	 ::
adultery {n} (sexual intercourse by a married person with someone other than their spouse)	 :: utroskap {n}, hor {n}
advancement {n} (payment in advance) SEE: advance payment	 ::
advantage {n} (any condition, circumstance, opportunity, or means, particularly favorable to success)	 :: [Bokmål] fordel {m}; [Nynorsk] fordel {m}
advantage {n} (superiority; mastery)	 :: [Bokmål] fordel {m}; [Nynorsk] fordel {m}
advent {n} (Christianity) SEE: Advent	 ::
